"S5","X.G4.3.6.5.","X.G4.1.7.3.","S4","X.G4.2.4.1.","X.G4.3.6.6.","X.G1.1.1.5.","X.G4.2.1.2.","pssm257","X.G4.3.1.5.","X.G1.1.1.13.","X.G4.3.2.14.","LC5.3","X.G4.1.5.1.","X.G4.3.2.12.","X.G4.3.4.12.","X.G4.3.6.11.","X.G4.2.7.3.","X.G4.3.4.11.","LC3.3","X.G4.3.1.6.","LC4.3","X.G4.2.1.1.","X.G4.3.5.10.","X.G4.2.8.2.","X.G4.3.5.1.","X.G4.2.3.2.","X.G4.2.8.3.","LC8.3","X.G4.3.7.9.","Output"
0.022727273,24.675325,26.623377,0.045454545,34.85342,27.272727,3.571429,14.006515,0.0921,24.350649,6.168831,99.025974,0.119921053,9.090909,72.077922,72.077922,81.818182,12.703583,77.597403,0.103842105,21.753247,0.093157895,25.081433,69.805195,31.921824,1.298701,17.263844,16.612378,0.103761905,46.103896,1
0.027522936,25.382263,27.828746,0.042813456,32.515337,25.688073,3.363914,13.496933,0.082,25.076453,6.422018,99.082569,0.2663,11.009174,78.593272,78.593272,77.981651,13.496933,73.394495,0.073975,25.382263,0.13175,25.460123,85.626911,30.06135,1.223242,17.177914,16.257669,0.078404255,51.070336,1
0.032374101,26.978417,25.179856,0.050359712,34.65704,21.582734,3.597122,16.967509,0.0869,22.302158,6.115108,97.841727,0.138617647,10.071942,75.539568,75.539568,80.215827,13.718412,78.057554,0.011794118,23.021583,0.113852941,23.465704,74.460432,33.212996,4.676259,20.216606,16.606498,0.244125,44.604317,1
0.037593985,25.93985,23.308271,0.04887218,35.471698,24.06015,2.631579,15.849057,0.0844,22.556391,6.390977,99.62406,0.136363636,10.150376,70.676692,70.676692,80.451128,10.566038,76.315789,0.022181818,21.052632,0.098393939,24.528302,68.421053,36.981132,4.511278,19.245283,12.45283,0.259428571,43.609023,1
0.033707865,24.719101,24.344569,0.048689139,30.075188,24.344569,2.996255,18.045113,0.0781,24.719101,8.988764,99.625468,0.138939394,8.614232,77.52809,77.52809,71.161049,10.150376,72.659176,0.149121212,19.850187,0.047575758,19.548872,79.400749,34.210526,5.617978,21.804511,13.533835,0.0065,44.194757,1
0.062146893,28.813559,24.858757,0.084745763,33.522727,14.124294,3.389831,16.477273,0.0406,24.293785,3.389831,96.610169,0.637772727,9.60452,67.231638,67.231638,80.225989,19.318182,73.446328,0.011,22.59887,0.463909091,27.840909,58.19209,36.363636,7.909605,19.318182,11.931818,0.25,41.242938,1
0.0625,28.409091,26.704545,0.085227273,34.857143,13.636364,3.409091,16.571429,0.0452,26.704545,3.977273,96.590909,0.634636364,9.659091,73.863636,73.863636,79.545455,14.857143,73.295455,0.009181818,23.863636,0.503636364,20,67.045455,36,7.954545,20.571429,17.142857,0.293363636,40.909091,1
0.03,26,26.666667,0.046666667,34.448161,21,2,13.043478,0.0823,28.333333,9.333333,99,0.133540541,10.333333,72,72,73,14.381271,73,0.114540541,20.666667,0.115351351,25.41806,82.333333,37.458194,2,15.384615,13.712375,0.156780488,42.333333,1
0.050561798,26.966292,25.842697,0.078651685,31.073446,19.101124,1.685393,14.689266,0.0347,19.662921,7.303371,96.067416,0.1745,12.921348,75.842697,75.842697,69.662921,13.559322,73.595506,0.445772727,21.910112,0.348909091,29.378531,81.460674,31.073446,7.303371,16.949153,14.689266,0.051916667,42.696629,1
0.075342466,33.561644,24.657534,0.102739726,29.655172,15.753425,4.109589,20,0.0574,32.876712,2.739726,99.315068,0.384444444,6.849315,84.931507,84.931507,73.287671,20.689655,68.493151,0.422777778,15.068493,0.599611111,24.137931,71.917808,34.482759,12.328767,26.206897,13.103448,0.43745,43.835616,1
