"S5","X.G4.3.6.11.","X.G4.3.6.10.","X.G4.3.6.6.","X.G4.1.5.3.","X.G4.3.8.12.","pssm342","X.G1.1.1.3.","X.G4.3.8.9.","X.G4.2.5.1.","X.G1.1.1.13.","pssm348","LC5.3","X.G4.1.5.1.","X.G4.3.7.9.","X.G4.3.3.6.","X.G1.1.1.18.","X.G4.3.8.10.","X.G4.3.7.12.","LC1.3","X.G4.3.6.9.","X.G4.3.8.7.","X.G1.1.1.16.","X.G4.3.7.10.","X.G4.3.1.10.","X.G4.3.7.11.","X.G4.3.1.7.","X.G4.3.7.8.","X.G1.1.1.10.","X.G4.3.7.15.","Output"
0.057324841,76.433121,66.242038,24.203822,10.191083,76.433121,0.0856,5.732484,49.044586,14.74359,5.095541,0.3259,0.178368421,9.55414,50.318471,28.66242,7.643312,72.611465,74.522293,0.491368421,50.318471,46.496815,8.917197,70.063694,77.070064,77.070064,51.592357,51.592357,7.006369,96.178344,1
0.058139535,75,76.744186,22.674419,8.72093,72.093023,0.0946,4.651163,49.418605,15.789474,5.813953,0.333,0.238952381,10.465116,53.488372,25.581395,7.55814,76.744186,73.255814,0.266761905,47.093023,50.581395,8.72093,74.418605,76.744186,76.744186,48.255814,48.255814,7.55814,98.255814,1
0.055555556,80.864198,67.283951,17.901235,13.580247,75.925926,0.0926,6.17284,50.617284,14.906832,3.08642,0.338,0.2282,9.259259,49.382716,26.54321,7.407407,71.604938,72.222222,0.4757,48.148148,46.296296,8.641975,69.135802,79.012346,79.012346,53.08642,53.08642,8.024691,100,1
0.057324841,80.254777,64.33121,24.203822,10.828025,77.707006,0.1067,5.732484,49.681529,14.74359,5.095541,0.3294,0.187894737,8.917197,50.318471,24.840764,7.006369,70.700637,74.522293,0.481368421,50.318471,46.496815,10.191083,70.063694,77.070064,77.070064,51.592357,51.592357,7.643312,96.178344,1
0.048128342,78.609626,63.636364,26.737968,10.160428,76.470588,0.1257,5.882353,48.663102,15.053763,5.347594,0.3357,0.181608696,10.160428,50.802139,26.203209,7.486631,74.331551,77.005348,0.428130435,51.336898,48.128342,9.625668,70.588235,74.331551,74.331551,50.26738,50.26738,7.486631,96.791444,1
0.048128342,72.727273,66.84492,28.877005,10.695187,77.005348,0.1013,4.812834,54.545455,15.053763,4.812834,0.334,0.198304348,9.090909,61.497326,19.251337,9.625668,71.122995,75.40107,0.331608696,56.149733,49.197861,8.55615,72.727273,74.331551,74.331551,41.71123,41.71123,8.02139,100,1
0.050314465,75.471698,67.924528,28.301887,9.433962,72.955975,0.1017,5.660377,49.056604,13.924051,3.773585,0.3101,0.228578947,8.176101,56.603774,21.383648,8.805031,76.100629,76.72956,0.401842105,50.314465,38.36478,8.176101,72.327044,70.440252,70.440252,43.396226,43.396226,11.320755,99.371069,1
0.044303797,75.949367,72.151899,18.987342,12.025316,74.050633,0.1268,5.696203,50,16.56051,5.063291,0.056,0.167421053,8.860759,53.797468,25.316456,7.594937,63.291139,74.050633,0.364263158,44.936709,42.405063,7.594937,70.253165,75.316456,75.316456,50.632911,50.632911,12.025316,99.367089,1
0.041450777,78.238342,75.647668,26.42487,11.398964,73.57513,0.1166,6.735751,52.331606,17.1875,2.072539,0.0524,0.196208333,10.880829,46.632124,20.725389,9.326425,72.53886,72.020725,0.339,44.559585,47.668394,5.181347,70.466321,80.829016,80.829016,52.849741,52.849741,7.253886,98.445596,1
0.054545455,80.606061,69.090909,16.363636,8.484848,72.121212,0.1009,1.212121,44.848485,14.02439,5.454545,0.3352,0.2248,9.090909,46.666667,21.212121,10.909091,70.909091,76.363636,0.4369,44.242424,53.333333,6.666667,71.515152,73.939394,73.939394,37.575758,37.575758,6.060606,96.969697,1
0.04519774,75.141243,74.011299,15.254237,9.039548,74.576271,0.1059,1.129944,48.022599,14.204545,5.649718,0.3342,0.228,8.474576,52.542373,21.468927,9.039548,72.881356,78.531073,0.409,41.242938,49.717514,6.214689,71.751412,73.446328,73.446328,39.548023,39.548023,7.344633,99.435028,1
0.05,81.875,67.5,25.625,10.625,76.875,0.0913,3.75,50,13.836478,4.375,0.3324,0.22435,9.375,58.75,26.25,8.125,64.375,74.375,0.4488,46.875,45.625,6.875,70.625,76.25,76.25,46.875,46.875,7.5,96.25,1
0.057324841,80.89172,64.33121,24.203822,10.191083,76.433121,0.0872,3.821656,49.681529,14.102564,5.732484,0.3317,0.187842105,8.280255,50.318471,24.840764,9.55414,70.063694,71.33758,0.478315789,50.318471,46.496815,5.095541,71.974522,79.617834,79.617834,46.496815,46.496815,5.732484,96.178344,1
